No,Name,Wiki,Location,Wiki,Designated,Area km2
59,Vembannur Wetland Complex,Vembannur_Wetland_Complex,Tamil Nadu,Tamil_Nadu,8 April 2022,0.2
60,Vellode Bird Sanctuary,Vellode_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,8 April 2022,0.77
61,Udhayamarthandapuram Bird Sanctuary,Udhayamarthandapuram_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,8 April 2022,0.44
62,Vedanthangal Bird Sanctuary,Vedanthangal_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,8 April 2022,0.4
63,Sirpur Lake,Sirpur_Lake,Madhya Pradesh,Madhya_Pradesh,7 January 2022,1.61
64,Koonthankulam Bird Sanctuary,Koonthankulam_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,8 November 2021,0.72
65,Tampara Lake,Tampara_Lake,Odisha,Odisha,12 October 2021,3
66,Hirakud Reservoir,Hirakud_Dam,Odisha,Odisha,12 October 2021,743
67,Ansupa Lake,Anshupa_Lake,Odisha,Odisha,12 October 2021,2.31
68,Yashwant Sagar,Yashwant_Sagar,Madhya Pradesh,Madhya_Pradesh,7 January 2022,8.229
69,Chitrangudi Bird Sanctuary,Chitrangudi_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,8 November 2021,2.6047
70,Suchindram Theroor Wetland Complex,Suchindram_Theroor_Wetland_Complex,Tamil Nadu,Tamil_Nadu,8 April 2022,0.9423
71,Vaduvur Bird Sanctuary,Vaduvoor_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,8 April 2022,1.1264
72,Kanjirankulam Bird Sanctuary,Kanjirankulam_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,8 April 2022,0.9689
73,Thane Creek,Thane_Creek,Maharashtra,Maharashtra,13 April 2022,65.2108
74,Hygam Wetland Conservation Reserve,,Jammu and Kashmir,Jammu_and_Kashmir_union_territory,8 June 2022,8.0182
75,Shallabugh Wetland Conservation Reserve,,Jammu and Kashmir,Jammu_and_Kashmir_union_territory,8 June 2022,16.75
76,Ankasamudra Bird Conservation Reserve,,Karnataka,Karnataka,31 January 2024,0.9876
77,Aghanashini Estuary,,Karnataka,Karnataka,31 January 2024,48.01
78,Magadi Kere Conservation Reserve,,Karnataka,Karnataka,31 January 2024,0.5438
79,Karaivetti Bird sanctuary,Karaivetti_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,31 January 2024,4.5372
80,Longwood Shola Reserve Forest,,Tamil Nadu,Tamil_Nadu,31 January 2024,1.16007
81,Nakti Bird Sanctuary,,Bihar,Bihar,,
82,Nagi Bird Sanctuary,,Bihar,Bihar,,
83,Nanjarayan Bird Sanctuary,,Tamil Nadu,Tamil Nadu,,
84,Kazhuveli Bird Sanctuary,,Tamil Nadu,Tamil Nadu,,
85,Tawa Reservoir,,Madhya Pradesh,Madhya Pradesh,,
